I,deltaT,T_in,pressure_ratio,Qc,Ptec,Qh,T_sat,m_dot_required,COP
7.0,22.857142857142858,30,1.1,0.5754285714285714,0.7791428571428571,1.3545714285714285,102.66664677456191,4.453152489660021e-06,0.7385405207187385
7.0,22.857142857142858,30,1.2,0.5754285714285714,0.7791428571428571,1.3545714285714285,105.16374456813821,4.305209391291521e-06,0.7385405207187385
7.0,22.857142857142858,30,1.3,0.5754285714285714,0.7791428571428571,1.3545714285714285,107.49465184921638,4.1757160175261545e-06,0.7385405207187385
7.0,22.857142857142858,30,1.4,0.5754285714285714,0.7791428571428571,1.3545714285714285,109.68224258275194,4.061076201053501e-06,0.7385405207187385
7.0,22.857142857142858,30,1.5,0.5754285714285714,0.7791428571428571,1.3545714285714285,111.74486049387446,3.958605556903903e-06,0.7385405207187385
7.0,22.857142857142858,40,1.1,0.5754285714285714,0.7791428571428571,1.3545714285714285,102.66664677456191,5.163762155066225e-06,0.7385405207187385
7.0,22.857142857142858,40,1.2,0.5754285714285714,0.7791428571428571,1.3545714285714285,105.16374456813821,4.965884958637071e-06,0.7385405207187385
7.0,22.857142857142858,40,1.3,0.5754285714285714,0.7791428571428571,1.3545714285714285,107.49465184921638,4.794389631378514e-06,0.7385405207187385
7.0,22.857142857142858,40,1.4,0.5754285714285714,0.7791428571428571,1.3545714285714285,109.68224258275194,4.643875498339423e-06,0.7385405207187385
7.0,22.857142857142858,40,1.5,0.5754285714285714,0.7791428571428571,1.3545714285714285,111.74486049387446,4.510367108833032e-06,0.7385405207187385
7.0,25.714285714285715,20,1.1,0.5488571428571429,0.7842857142857144,1.3331428571428572,102.66664677456191,3.852539892780561e-06,0.6998178506375228
7.0,25.714285714285715,20,1.2,0.5488571428571429,0.7842857142857144,1.3331428571428572,105.16374456813821,3.739579044068348e-06,0.6998178506375228
7.0,25.714285714285715,20,1.3,0.5488571428571429,0.7842857142857144,1.3331428571428572,107.49465184921638,3.6399545317380624e-06,0.6998178506375228
7.0,25.714285714285715,20,1.4,0.5488571428571429,0.7842857142857144,1.3331428571428572,109.68224258275194,3.551166265802657e-06,0.6998178506375228
7.0,25.714285714285715,20,1.5,0.5488571428571429,0.7842857142857144,1.3331428571428572,111.74486049387446,3.4713285603901815e-06,0.6998178506375228
7.0,25.714285714285715,30,1.1,0.5488571428571429,0.7842857142857144,1.3331428571428572,102.66664677456191,4.382706078201573e-06,0.6998178506375228
7.0,25.714285714285715,30,1.2,0.5488571428571429,0.7842857142857144,1.3331428571428572,105.16374456813821,4.237103357892057e-06,0.6998178506375228
7.0,25.714285714285715,30,1.3,0.5488571428571429,0.7842857142857144,1.3331428571428572,107.49465184921638,4.109658497738249e-06,0.6998178506375228
7.0,25.714285714285715,30,1.4,0.5488571428571429,0.7842857142857144,1.3331428571428572,109.68224258275194,3.996832219809246e-06,0.6998178506375228
7.0,25.714285714285715,30,1.5,0.5488571428571429,0.7842857142857144,1.3331428571428572,111.74486049387446,3.8959826046221496e-06,0.6998178506375228
7.0,25.714285714285715,40,1.1,0.5488571428571429,0.7842857142857144,1.3331428571428572,102.66664677456191,5.082074291402447e-06,0.6998178506375228
